,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
534,55 to 64 years,492,25081,32278,299,15523,19978,Less than 9th grade,2006
535,65 years and over,270,18733,24109,151,15356,19763,Less than 9th grade,2006
540,Total,3622,22396,29757,1697,14300,19000,Less than 9th grade,2005
541,18 to 24 years,345,15693,20851,104,10329,13724,Less than 9th grade,2005
542,25 to 34 years,947,19785,26288,309,13284,17650,Less than 9th grade,2005
543,35 to 44 years,955,23852,31692,411,13852,18405,Less than 9th grade,2005
544,45 to 54 years,681,25770,34240,430,16029,21298,Less than 9th grade,2005
545,55 to 64 years,449,26077,34648,304,16107,21401,Less than 9th grade,2005
546,65 years and over,244,20140,26760,139,11548,15344,Less than 9th grade,2005
551,Total,3637,21970,30180,1727,14016,19254,Less than 9th grade,2004
552,18 to 24 years,387,14502,19921,104,8603,11818,Less than 9th grade,2004
553,25 to 34 years,882,19650,26993,342,12391,17021,Less than 9th grade,2004
554,35 to 44 years,898,24206,33252,447,14532,19963,Less than 9th grade,2004
555,45 to 54 years,725,22616,31067,409,16546,22729,Less than 9th grade,2004
556,55 to 64 years,479,23482,32257,267,14219,19533,Less than 9th grade,2004
557,65 years and over,266,28485,39130,157,12745,17508,Less than 9th grade,2004
562,Total,3448,20724,29238,1679,15393,21717,Less than 9th grade,2003
563,18 to 24 years,358,13947,19677,129,9459,13345,Less than 9th grade,2003
564,25 to 34 years,920,18401,25960,332,14420,20344,Less than 9th grade,2003
565,35 to 44 years,823,22820,32195,432,13555,19123,Less than 9th grade,2003
566,45 to 54 years,637,23434,33061,394,17838,25166,Less than 9th grade,2003
567,55 to 64 years,423,25324,35727,244,17046,24049,Less than 9th grade,2003
568,65 years and over,288,17838,25166,148,18873,26626,Less than 9th grade,2003
573,Total,3440,21005,30307,1750,13879,20025,Less than 9th grade,2002
574,18 to 24 years,366,14030,20243,122,19532,28182,Less than 9th grade,2002
575,25 to 34 years,865,19460,28078,342,11593,16727,Less than 9th grade,2002
576,35 to 44 years,850,22023,31776,427,13396,19328,Less than 9th grade,2002
577,45 to 54 years,614,22654,32686,426,14548,20991,Less than 9th grade,2002
578,55 to 64 years,459,28274,40795,277,14739,21266,Less than 9th grade,2002
579,65 years and over,284,16354,23596,156,12438,17946,Less than 9th grade,2002
584,Total,3547,20341,29812,1869,13242,19407,Less than 9th grade,2001
585,18 to 24 years,381,13419,19667,153,9013,13209,Less than 9th grade,2001
586,25 to 34 years,959,20495,30037,347,11655,17081,Less than 9th grade,2001
587,35 to 44 years,761,21679,31773,488,14840,21749,Less than 9th grade,2001
588,45 to 54 years,649,23366,34245,449,14813,21710,Less than 9th grade,2001
589,55 to 64 years,491,20845,30550,269,14080,20636,Less than 9th grade,2001
590,65 years and over,305,17918,26260,163,10096,14797,Less than 9th grade,2001
595,Total,3519,20211,30464,1861,13878,20919,Less than 9th grade,2000
596,18 to 24 years,415,15000,22610,163,8221,12392,Less than 9th grade,2000
597,25 to 34 years,789,19318,29118,374,11931,17984,Less than 9th grade,2000
598,35 to 44 years,818,22185,33440,459,16491,24857,Less than 9th grade,2000
