,"Educational attainment, year, and age",Number with earnings (thousands)-Male,Mean earnings Current dollars-Male,Mean earnings 2020 dollars-Male,Number with earnings (thousands)-Female,Mean earnings Current dollars-Female,Mean earnings 2020 dollars-Female,education_attainment,year
2913,18 to 24 years,51,(B),(B),104,26766,29790,Master's Degree,2013
2914,25 to 34 years,1076,63973,71201,1623,48590,54080,Master's Degree,2013
2915,35 to 44 years,1745,102867,114490,2034,59894,66662,Master's Degree,2013
2916,45 to 54 years,1655,113431,126248,1785,60859,67736,Master's Degree,2013
2917,55 to 64 years,1308,125965,140198,1481,66468,73978,Master's Degree,2013
2918,65 years and over,543,89919,100079,580,50619,56339,Master's Degree,2013
2923,Total,6278,97365,108367,7471,58253,64835,Master's Degree,2013
2924,18 to 24 years,43,(B),(B),112,27463,30566,Master's Degree,2013
2925,25 to 34 years,1236,74064,82433,1807,48740,54247,Master's Degree,2013
2926,35 to 44 years,1616,101653,113139,1938,62642,69720,Master's Degree,2013
2927,45 to 54 years,1588,116043,129155,1607,66669,74202,Master's Degree,2013
2928,55 to 64 years,1243,109691,122085,1505,60824,67697,Master's Degree,2013
2929,65 years and over,552,60240,67047,503,47805,53207,Master's Degree,2013
2934,Total,6257,93145,105206,7284,59428,67123,Master's Degree,2012
2935,18 to 24 years,62,(B),(B),96,24799,28010,Master's Degree,2012
2936,25 to 34 years,1052,70380,79493,1743,51918,58640,Master's Degree,2012
2937,35 to 44 years,1625,101172,114272,1902,62466,70554,Master's Degree,2012
2938,45 to 54 years,1578,109187,123325,1625,68571,77450,Master's Degree,2012
2939,55 to 64 years,1340,94765,107035,1463,63996,72282,Master's Degree,2012
2940,65 years and over,601,71530,80792,455,35514,40112,Master's Degree,2012
2945,Total,5937,96220,110981,6871,59739,68903,Master's Degree,2011
2946,18 to 24 years,58,(B),(B),60,(B),(B),Master's Degree,2011
2947,25 to 34 years,982,73466,84736,1557,49446,57031,Master's Degree,2011
2948,35 to 44 years,1590,97114,112012,1818,64936,74897,Master's Degree,2011
2949,45 to 54 years,1428,115636,133375,1631,64535,74435,Master's Degree,2011
2950,55 to 64 years,1355,101524,117098,1403,64111,73946,Master's Degree,2011
2951,65 years and over,524,76131,87810,403,46103,53175,Master's Degree,2011
2956,Total,5909,88111,104831,6780,57046,67871,Master's Degree,2010
2957,18 to 24 years,42,(B),(B),76,37082,44119,Master's Degree,2010
2958,25 to 34 years,1005,61967,73726,1513,48287,57450,Master's Degree,2010
2959,35 to 44 years,1483,92666,110251,1699,62459,74311,Master's Degree,2010
2960,45 to 54 years,1473,104660,124521,1649,64003,76148,Master's Degree,2010
2961,55 to 64 years,1381,94546,112487,1405,58785,69940,Master's Degree,2010
2962,65 years and over,526,65607,78057,438,37974,45180,Master's Degree,2010
2967,Total,5629,90964,110011,6378,58534,70790,Master's Degree,2009
2968,18 to 24 years,51,(B),(B),70,(B),(B),Master's Degree,2009
2969,25 to 34 years,1010,68492,82834,1463,52445,63427,Master's Degree,2009
2970,35 to 44 years,1416,103639,125340,1492,58717,71012,Master's Degree,2009
2971,45 to 54 years,1435,107921,130519,1573,67021,81055,Master's Degree,2009
2972,55 to 64 years,1292,91077,110148,1390,62705,75835,Master's Degree,2009
2973,65 years and over,426,51849,62706,390,37819,45738,Master's Degree,2009
2978,Total,5860,88450,106599,6310,54517,65703,Master's Degree,2008
2979,18 to 24 years,41,(B),(B),68,(B),(B),Master's Degree,2008
2980,25 to 34 years,1095,64727,78008,1518,49077,59147,Master's Degree,2008
2981,35 to 44 years,1490,97196,117139,1573,56860,68527,Master's Degree,2008
2982,45 to 54 years,1467,109945,132504,1514,59828,72104,Master's Degree,2008
2983,55 to 64 years,1339,87931,105973,1338,57264,69014,Master's Degree,2008
2984,65 years and over,428,51703,62312,299,37362,45028,Master's Degree,2008
2989,Total,5773,86966,108836,6285,54772,68546,Master's Degree,2007
2990,18 to 24 years,26,(B),(B),71,(B),(B),Master's Degree,2007
2991,25 to 34 years,1029,64888,81206,1504,48909,61209,Master's Degree,2007
2992,35 to 44 years,1569,95975,120111,1631,56279,70432,Master's Degree,2007
2993,45 to 54 years,1438,101712,127290,1632,63534,79511,Master's Degree,2007
2994,55 to 64 years,1311,86004,107632,1176,54406,68088,Master's Degree,2007
2995,65 years and over,400,62168,77802,271,35796,44798,Master's Degree,2007
3000,Total,5482,87981,113229,5634,53209,68478,Master's Degree,2006
3001,18 to 24 years,44,(B),(B),87,26686,34344,Master's Degree,2006
3002,25 to 34 years,1007,65680,84528,1281,46731,60141,Master's Degree,2006
3003,35 to 44 years,1483,96582,124298,1439,54226,69787,Master's Degree,2006
3004,45 to 54 years,1467,109504,140928,1516,61620,79303,Master's Degree,2006
3005,55 to 64 years,1142,80498,103598,1073,54517,70162,Master's Degree,2006
3006,65 years and over,340,54489,70126,237,32062,41263,Master's Degree,2006
3011,Total,5200,86667,115153,5326,49573,65867,Master's Degree,2005
3012,18 to 24 years,28,(B),(B),69,(B),(B),Master's Degree,2005
3013,25 to 34 years,930,56743,75394,1226,41695,55400,Master's Degree,2005
3014,35 to 44 years,1336,92229,122543,1391,52761,70103,Master's Degree,2005
3015,45 to 54 years,1451,102676,136424,1436,56199,74671,Master's Degree,2005
3016,55 to 64 years,1126,87567,116349,1020,50567,67188,Master's Degree,2005
3017,65 years and over,329,80579,107064,184,29628,39366,Master's Degree,2005
3022,Total,5129,83870,115212,5272,50471,69332,Master's Degree,2004
3023,18 to 24 years,19,(B),(B),56,(B),(B),Master's Degree,2004
3024,25 to 34 years,903,57624,79158,1196,40465,55587,Master's Degree,2004
3025,35 to 44 years,1345,99141,136189,1327,49458,67940,Master's Degree,2004
3026,45 to 54 years,1519,97739,134263,1517,60395,82964,Master's Degree,2004
3027,55 to 64 years,1050,75341,103495,993,54369,74686,Master's Degree,2004
3028,65 years and over,294,57008,78312,182,26934,36999,Master's Degree,2004
3033,Total,5117,76892,108480,5144,48205,68008,Master's Degree,2003
3034,18 to 24 years,29,(B),(B),55,(B),(B),Master's Degree,2003
3035,25 to 34 years,913,61927,87367,1111,42093,59385,Master's Degree,2003
3036,35 to 44 years,1337,83644,118006,1245,47606,67163,Master's Degree,2003
3037,45 to 54 years,1509,82640,116589,1620,55017,77618,Master's Degree,2003
3038,55 to 64 years,1019,82761,116760,936,49339,69608,Master's Degree,2003
3039,65 years and over,310,48096,67854,176,31798,44861,Master's Degree,2003
3044,Total,4967,73629,106235,5008,47368,68345,Master's Degree,2002
3045,18 to 24 years,25,(B),(B),47,(B),(B),Master's Degree,2002
3046,25 to 34 years,882,58243,84036,1072,40660,58666,Master's Degree,2002
3047,35 to 44 years,1325,79422,114594,1285,47606,68688,Master's Degree,2002
3048,45 to 54 years,1491,81322,117335,1613,53945,77834,Master's Degree,2002
3049,55 to 64 years,990,74145,106980,833,48973,70661,Master's Degree,2002
3050,65 years and over,255,54162,78147,158,23829,34382,Master's Degree,2002
3055,Total,4825,79034,115831,4755,47924,70237,Master's Degree,2001
3056,18 to 24 years,19,(B),(B),43,(B),(B),Master's Degree,2001
3057,25 to 34 years,844,60344,88440,1098,40183,58892,Master's Degree,2001
3058,35 to 44 years,1322,89503,131175,1189,50517,74037,Master's Degree,2001
3059,45 to 54 years,1492,84484,123819,1599,52831,77429,Master's Degree,2001
3060,55 to 64 years,934,82646,121125,693,51284,75161,Master's Degree,2001
3061,65 years and over,213,38198,55983,133,19087,27974,Master's Degree,2001
3066,Total,4621,76523,115344,4527,45502,68586,Master's Degree,2000
3067,18 to 24 years,22,(B),(B),64,(B),(B),Master's Degree,2000
3068,25 to 34 years,806,58209,87739,951,39783,59966,Master's Degree,2000
3069,35 to 44 years,1297,83364,125656,1183,50773,76531,Master's Degree,2000
3070,45 to 54 years,1434,82429,124246,1543,49031,73905,Master's Degree,2000
3071,55 to 64 years,833,84938,128028,640,42090,63443,Master's Degree,2000
3072,65 years and over,229,39849,60065,147,26730,40291,Master's Degree,2000
3077,Total,4564,68549,106831,4373,42407,66090,Master's Degree,1999
3078,18 to 24 years,36,(B),(B),76,34583,53896,Master's Degree,1999
3079,25 to 34 years,797,57647,89841,915,37637,58656,Master's Degree,1999
3080,35 to 44 years,1312,68969,107486,1178,43877,68381,Master's Degree,1999
3081,45 to 54 years,1471,77693,121082,1429,46197,71996,Master's Degree,1999
3082,55 to 64 years,733,71043,110718,637,42196,65761,Master's Degree,1999
3083,65 years and over,216,40637,63331,138,27548,42933,Master's Degree,1999
3088,Total,4219,64533,102714,4005,40429,64349,Master's Degree,1998
3089,18 to 24 years,32,(B),(B),22,(B),(B),Master's Degree,1998
3090,25 to 34 years,791,45118,71812,907,37969,60433,Master's Degree,1998
3091,35 to 44 years,1210,76421,121635,1127,42143,67077,Master's Degree,1998
3092,45 to 54 years,1326,69183,110115,1341,44265,70454,Master's Degree,1998
3093,55 to 64 years,681,68978,109789,471,37426,59569,Master's Degree,1998
3094,65 years and over,179,25201,40111,137,17023,27095,Master's Degree,1998
3099,Total,4012,63220,101987,3759,38337,61845,Master's Degree,1997
3100,18 to 24 years,16,(B),(B),33,(B),(B),Master's Degree,1997
3101,25 to 34 years,769,50235,81039,865,32408,52281,Master's Degree,1997
3102,35 to 44 years,1132,64256,103658,1071,42326,68280,Master's Degree,1997
3103,45 to 54 years,1313,72219,116504,1182,43042,69436,Master's Degree,1997
3104,55 to 64 years,616,67874,109495,473,34888,56281,Master's Degree,1997
3105,65 years and over,165,31956,51552,135,19038,30712,Master's Degree,1997
3110,Total,4089,62145,102420,3582,36483,60127,Master's Degree,1996
3111,18 to 24 years,31,(B),(B),34,(B),(B),Master's Degree,1996
3112,25 to 34 years,739,40920,67439,797,30718,50626,Master's Degree,1996
3113,35 to 44 years,1217,74411,122635,1069,40654,67001,Master's Degree,1996
3114,45 to 54 years,1339,71285,117483,1174,38610,63632,Master's Degree,1996
3115,55 to 64 years,587,53001,87350,420,34762,57290,Master's Degree,1996
3116,65 years and over,177,33722,55576,88,21598,35595,Master's Degree,1996
3121,Total,4219,58302,98645,3553,34911,59068,Master's Degree,1995
3122,18 to 24 years,20,(B),(B),34,(B),(B),Master's Degree,1995
3123,25 to 34 years,857,43243,73166,748,29915,50615,Master's Degree,1995
3124,35 to 44 years,1224,64379,108927,1187,37574,63574,Master's Degree,1995
3125,45 to 54 years,1318,69334,117311,1161,37672,63740,Master's Degree,1995
3126,55 to 64 years,598,51666,87417,359,32412,54840,Master's Degree,1995
3127,65 years and over,202,35762,60508,65,(B),(B),Master's Degree,1995
3132,Total,4089,55296,95813,3470,35770,61980,Master's Degree,1994
3133,18 to 24 years,24,(B),(B),35,(B),(B),Master's Degree,1994
3134,25 to 34 years,802,38019,65877,720,31159,53990,Master's Degree,1994
3135,35 to 44 years,1270,63824,110590,1203,37527,65024,Master's Degree,1994
3136,45 to 54 years,1290,60846,105430,1066,38698,67053,Master's Degree,1994
3137,55 to 64 years,531,49651,86032,340,38290,66346,Master's Degree,1994
3138,65 years and over,172,53489,92682,106,14656,25395,Master's Degree,1994
3143,Total,3830,53614,94838,3343,34340,60744,Master's Degree,1993
3144,18 to 24 years,21,(B),(B),49,(B),(B),Master's Degree,1993
3145,25 to 34 years,721,37997,67213,689,30764,54419,Master's Degree,1993
3146,35 to 44 years,1273,57763,102178,1219,37875,66997,Master's Degree,1993
3147,45 to 54 years,1177,64088,113366,966,35591,62957,Master's Degree,1993
3148,55 to 64 years,508,48002,84911,349,31563,55832,Master's Degree,1993
3149,65 years and over,131,32590,57649,72,(B),(B),Master's Degree,1993
3154,Total,3902,48199,87409,3285,30952,56132,Master's Degree,1992
3155,18 to 24 years,37,(B),(B),57,(B),(B),Master's Degree,1992
3156,25 to 34 years,767,39659,71922,651,27833,50475,Master's Degree,1992
3157,35 to 44 years,1261,51458,93320,1238,31671,57436,Master's Degree,1992
3158,45 to 54 years,1183,56293,102088,914,34658,62853,Master's Degree,1992
3159,55 to 64 years,527,43918,79646,343,31596,57300,Master's Degree,1992
3160,65 years and over,127,20254,36731,84,13290,24102,Master's Degree,1992
3165,Total,3929,47053,87453,3172,30591,56857,Master's Degree,1991
3166,18 to 24 years,30,(B),(B),32,(B),(B),Master's Degree,1991
3167,25 to 34 years,836,39016,72515,669,28503,52976,Master's Degree,1991
3168,35 to 44 years,1320,50089,93096,1231,31347,58262,Master's Degree,1991
3169,45 to 54 years,1112,55075,102363,821,34983,65020,Master's Degree,1991
3170,55 to 64 years,498,43736,81288,334,26912,50019,Master's Degree,1991
3171,65 years and over,133,20290,37711,86,15284,28407,Master's Degree,1991
3177,Total,1486,170966,170966,1134,116137,116137,Professional Degree,2020
3178,18 to 24 years,8,(B),(B),0,(B),(B),Professional Degree,2020
3179,25 to 34 years,219,94665,94665,232,110456,110456,Professional Degree,2020
3180,35 to 44 years,373,174181,174181,349,132520,132520,Professional Degree,2020
3181,45 to 54 years,307,199955,199955,284,117357,117357,Professional Degree,2020
3182,55 to 64 years,290,211938,211938,192,105586,105586,Professional Degree,2020
3183,65 years and over,288,157253,157253,77,80787,80787,Professional Degree,2020
3188,Total,1538,176443,178646,1104,119616,121109,Professional Degree,2019
3189,18 to 24 years,9,(B),(B),2,(B),(B),Professional Degree,2019
3190,25 to 34 years,236,98273,99500,245,94916,96101,Professional Degree,2019
3191,35 to 44 years,306,180894,183152,302,135386,137076,Professional Degree,2019
3192,45 to 54 years,348,211627,214268,263,142912,144696,Professional Degree,2019
3193,55 to 64 years,334,217625,220342,174,129413,131029,Professional Degree,2019
3194,65 years and over,306,151916,153812,117,65700,66520,Professional Degree,2019
3199,Total,1470,175524,180935,1060,114211,117732,Professional Degree,2018
3200,18 to 24 years,5,(B),(B),5,(B),(B),Professional Degree,2018
3201,25 to 34 years,279,98357,101389,212,83094,85656,Professional Degree,2018
3202,35 to 44 years,288,201241,207445,299,135248,139417,Professional Degree,2018
3203,45 to 54 years,287,238997,246365,283,127996,131942,Professional Degree,2018
3204,55 to 64 years,360,174120,179488,177,110336,113737,Professional Degree,2018
3205,65 years and over,252,164349,169415,84,81823,84345,Professional Degree,2018
3210,Total,1441,161799,170853,1084,111027,117240,Professional Degree,2017
3211,18 to 24 years,15,(B),(B),6,(B),(B),Professional Degree,2017
3212,25 to 34 years,223,90806,95887,235,87299,92184,Professional Degree,2017
3213,35 to 44 years,263,176328,186195,290,125959,133007,Professional Degree,2017
3214,45 to 54 years,317,196633,207636,286,114956,121388,Professional Degree,2017
3215,55 to 64 years,333,191045,201735,182,126155,133214,Professional Degree,2017
3216,65 years and over,289,131920,139302,85,83594,88272,Professional Degree,2017
3221,Total,1435,158712,167593,1071,111145,117364,Professional Degree,2017
3222,18 to 24 years,15,(B),(B),6,(B),(B),Professional Degree,2017
3223,25 to 34 years,220,92011,97160,235,86409,91244,Professional Degree,2017
3224,35 to 44 years,265,159583,168513,284,122349,129195,Professional Degree,2017
3225,45 to 54 years,313,197702,208765,287,118454,125082,Professional Degree,2017
3226,55 to 64 years,336,183623,193898,174,124518,131485,Professional Degree,2017
3227,65 years and over,286,144033,152092,86,95266,100597,Professional Degree,2017
3232,Total,1425,160528,173156,1122,101939,109958,Professional Degree,2016
3233,18 to 24 years,6,(B),(B),12,(B),(B),Professional Degree,2016
3234,25 to 34 years,248,109599,118221,256,83164,89706,Professional Degree,2016
3235,35 to 44 years,270,169662,183008,299,110086,118746,Professional Degree,2016
3236,45 to 54 years,266,201976,217864,266,105842,114168,Professional Degree,2016
3237,55 to 64 years,335,174280,187990,211,119927,129361,Professional Degree,2016
3238,65 years and over,300,144610,155986,78,82323,88799,Professional Degree,2016
3243,Total,1543,167967,183517,1040,103514,113097,Professional Degree,2015
3244,18 to 24 years,13,(B),(B),8,(B),(B),Professional Degree,2015
3245,25 to 34 years,250,106547,116411,253,80653,88120,Professional Degree,2015
3246,35 to 44 years,313,197936,216260,259,112426,122834,Professional Degree,2015
3247,45 to 54 years,372,192386,210196,265,122738,134101,Professional Degree,2015
3248,55 to 64 years,335,170882,186702,204,101879,111311,Professional Degree,2015
3249,65 years and over,260,159804,174598,51,(B),(B),Professional Degree,2015
3254,Total,1633,158156,173095,1058,103502,113279,Professional Degree,2014
3255,18 to 24 years,5,(B),(B),5,(B),(B),Professional Degree,2014
3256,25 to 34 years,271,96250,105342,243,78603,86028,Professional Degree,2014
3257,35 to 44 years,354,178772,195659,281,124289,136029,Professional Degree,2014
3258,45 to 54 years,348,210274,230136,250,108365,118601,Professional Degree,2014
3259,55 to 64 years,381,157975,172897,188,104852,114756,Professional Degree,2014
3260,65 years and over,274,129141,141340,90,95409,104421,Professional Degree,2014
3265,Total,1549,141535,157527,994,94109,104743,Professional Degree,2013
3266,18 to 24 years,11,(B),(B),(B),(B),(B),Professional Degree,2013
3267,25 to 34 years,248,59325,66028,196,82844,92205,Professional Degree,2013
3268,35 to 44 years,377,159648,177687,289,73952,82308,Professional Degree,2013
3269,45 to 54 years,239,147788,164487,258,88170,98133,Professional Degree,2013
3270,55 to 64 years,397,172739,192257,217,140150,155986,Professional Degree,2013
3271,65 years and over,277,139848,155650,34,(B),(B),Professional Degree,2013
3276,Total,1513,169135,188246,1086,98454,109579,Professional Degree,2013
3277,18 to 24 years,13,(B),(B),14,(B),(B),Professional Degree,2013
3278,25 to 34 years,228,89568,99689,266,76383,85014,Professional Degree,2013
3279,35 to 44 years,329,180288,200659,274,110806,123326,Professional Degree,2013
3280,45 to 54 years,328,187681,208888,230,110428,122906,Professional Degree,2013
3281,55 to 64 years,388,196521,218726,230,113696,126543,Professional Degree,2013
3282,65 years and over,228,165180,183844,72,(B),(B),Professional Degree,2013
3287,Total,1547,157073,177411,916,110322,124607,Professional Degree,2012
3288,18 to 24 years,6,(B),(B),1,(B),(B),Professional Degree,2012
3289,25 to 34 years,241,86973,98234,173,82351,93014,Professional Degree,2012
3290,35 to 44 years,351,168407,190213,266,119187,134620,Professional Degree,2012
3291,45 to 54 years,346,170332,192387,237,100918,113985,Professional Degree,2012
3292,55 to 64 years,383,182513,206145,192,141035,159296,Professional Degree,2012
3293,65 years and over,220,153323,173175,47,(B),(B),Professional Degree,2012
3298,Total,1594,145024,167271,875,91995,106107,Professional Degree,2011
3299,18 to 24 years,N,(B),(B),3,(B),(B),Professional Degree,2011
3300,25 to 34 years,285,101040,116540,255,75378,86941,Professional Degree,2011
3301,35 to 44 years,316,160250,184833,211,92930,107186,Professional Degree,2011
3302,45 to 54 years,411,158233,182507,204,107861,124407,Professional Degree,2011
3303,55 to 64 years,355,178749,206170,157,112485,129741,Professional Degree,2011
3304,65 years and over,226,102598,118337,45,(B),(B),Professional Degree,2011
3309,Total,1533,147344,175304,850,87203,103751,Professional Degree,2010
3310,18 to 24 years,6,(B),(B),2,(B),(B),Professional Degree,2010
3311,25 to 34 years,217,85277,101459,226,64498,76737,Professional Degree,2010
3312,35 to 44 years,273,172907,205718,243,98506,117199,Professional Degree,2010
3313,45 to 54 years,417,170324,202645,187,90646,107847,Professional Degree,2010
3314,55 to 64 years,389,179626,213712,142,106008,126124,Professional Degree,2010
3315,65 years and over,232,81343,96779,50,(B),(B),Professional Degree,2010
3320,Total,1557,150310,181784,925,89897,108721,Professional Degree,2009
3321,18 to 24 years,7,(B),(B),12,(B),(B),Professional Degree,2009
3322,25 to 34 years,225,107340,129816,222,65334,79014,Professional Degree,2009
3323,35 to 44 years,300,163930,198255,300,108841,131631,Professional Degree,2009
3324,45 to 54 years,389,170708,206453,199,106059,128267,Professional Degree,2009
3325,55 to 64 years,422,168675,203994,130,86011,104021,Professional Degree,2009
3326,65 years and over,215,106203,128441,60,(B),(B),Professional Degree,2009
3331,Total,1700,147518,177786,1025,87723,105722,Professional Degree,2008
3332,18 to 24 years,16,(B),(B),8,(B),(B),Professional Degree,2008
3333,25 to 34 years,240,91747,110572,272,69213,83414,Professional Degree,2008
3334,35 to 44 years,371,156215,188268,330,102120,123073,Professional Degree,2008
3335,45 to 54 years,422,181162,218334,262,94167,113489,Professional Degree,2008
3336,55 to 64 years,405,160581,193530,119,77045,92853,Professional Degree,2008
3337,65 years and over,246,118139,142379,34,(B),(B),Professional Degree,2008
3342,Total,1608,142282,178063,903,83031,103911,Professional Degree,2007
3343,18 to 24 years,6,(B),(B),4,(B),(B),Professional Degree,2007
3344,25 to 34 years,195,93681,117240,235,71295,89224,Professional Degree,2007
3345,35 to 44 years,382,161004,201493,261,95117,119037,Professional Degree,2007
3346,45 to 54 years,468,150052,187787,237,83989,105110,Professional Degree,2007
3347,55 to 64 years,402,157295,196851,136,84367,105583,Professional Degree,2007
3348,65 years and over,155,99225,124178,29,(B),(B),Professional Degree,2007
3353,Total,1670,132991,171155,902,86010,110692,Professional Degree,2006
3354,18 to 24 years,12,(B),(B),2,(B),(B),Professional Degree,2006
3355,25 to 34 years,238,77328,99519,220,78977,101641,Professional Degree,2006
3356,35 to 44 years,379,163391,210279,258,88733,114197,Professional Degree,2006
3357,45 to 54 years,500,150626,193851,223,87110,112108,Professional Degree,2006
3358,55 to 64 years,358,136183,175263,168,97380,125325,Professional Degree,2006
3359,65 years and over,182,95564,122988,30,(B),(B),Professional Degree,2006
3364,Total,1639,139773,185714,926,82268,109308,Professional Degree,2005
3365,18 to 24 years,4,(B),(B),3,(B),(B),Professional Degree,2005
3366,25 to 34 years,205,89465,118871,225,62966,83662,Professional Degree,2005
3367,35 to 44 years,409,152512,202641,295,90480,120220,Professional Degree,2005
3368,45 to 54 years,476,161065,214005,245,90669,120471,Professional Degree,2005
3369,55 to 64 years,351,144107,191473,129,91341,121364,Professional Degree,2005
3370,65 years and over,193,109100,144960,29,(B),(B),Professional Degree,2005
3375,Total,1576,136675,187750,793,70787,97240,Professional Degree,2004
3376,18 to 24 years,5,(B),(B),4,(B),(B),Professional Degree,2004
3377,25 to 34 years,260,88397,121430,189,60789,83505,Professional Degree,2004
3378,35 to 44 years,406,141255,194041,275,77493,106452,Professional Degree,2004
3379,45 to 54 years,453,156803,215399,194,78461,107781,Professional Degree,2004
3380,55 to 64 years,305,152213,209094,100,65956,90603,Professional Degree,2004
3381,65 years and over,147,119518,164181,31,(B),(B),Professional Degree,2004
3386,Total,1607,136128,192050,786,72444,102204,Professional Degree,2003
3387,18 to 24 years,9,(B),(B),2,(B),(B),Professional Degree,2003
3388,25 to 34 years,272,83787,118207,222,62304,87899,Professional Degree,2003
3389,35 to 44 years,401,148421,209393,241,89126,125740,Professional Degree,2003
3390,45 to 54 years,456,162386,229095,207,65546,92473,Professional Degree,2003
3391,55 to 64 years,314,158184,223167,95,75102,105954,Professional Degree,2003
3392,65 years and over,155,80944,114196,19,(B),(B),Professional Degree,2003
3397,Total,1534,138827,200306,777,61583,88855,Professional Degree,2002
3398,18 to 24 years,6,(B),(B),7,(B),(B),Professional Degree,2002
3399,25 to 34 years,237,91724,132344,210,56624,81700,Professional Degree,2002
3400,35 to 44 years,393,155921,224970,250,73319,105788,Professional Degree,2002
3401,45 to 54 years,480,155238,223985,193,54143,78120,Professional Degree,2002
3402,55 to 64 years,290,153238,221099,87,62911,90771,Professional Degree,2002
3403,65 years and over,128,85538,123418,30,(B),(B),Professional Degree,2002
3408,Total,1540,120125,176054,760,63378,92886,Professional Degree,2001
3409,18 to 24 years,7,(B),(B),5,(B),(B),Professional Degree,2001
3410,25 to 34 years,213,71474,104752,227,55267,80999,Professional Degree,2001
3411,35 to 44 years,420,133927,196282,242,70058,102676,Professional Degree,2001
3412,45 to 54 years,504,137765,201907,168,72697,106544,Professional Degree,2001
3413,55 to 64 years,284,128553,188406,100,55863,81872,Professional Degree,2001
3414,65 years and over,113,64994,95255,17,(B),(B),Professional Degree,2001
3419,Total,1510,122543,184711,718,66008,99495,Professional Degree,2000
3420,18 to 24 years,12,(B),(B),9,(B),(B),Professional Degree,2000
3421,25 to 34 years,206,65786,99160,206,52335,78885,Professional Degree,2000
3422,35 to 44 years,400,133157,200710,253,71776,108189,Professional Degree,2000
3423,45 to 54 years,496,156357,235679,150,81975,123562,Professional Degree,2000
3424,55 to 64 years,259,116245,175218,79,61216,92272,Professional Degree,2000
3425,65 years and over,135,73548,110860,21,(B),(B),Professional Degree,2000
3430,Total,1516,119448,186155,712,60044,93576,Professional Degree,1999
3431,18 to 24 years,9,(B),(B),13,(B),(B),Professional Degree,1999
3432,25 to 34 years,228,60723,94635,220,54970,85669,Professional Degree,1999
3433,35 to 44 years,385,117497,183115,221,69306,108011,Professional Degree,1999
3434,45 to 54 years,461,137807,214767,186,60553,94370,Professional Degree,1999
3435,55 to 64 years,306,145153,226216,58,(B),(B),Professional Degree,1999
3436,65 years and over,127,110209,171757,15,(B),(B),Professional Degree,1999
3441,Total,1475,108926,173372,658,65351,104016,Professional Degree,1998
3442,18 to 24 years,5,(B),(B),7,(B),(B),Professional Degree,1998
3443,25 to 34 years,207,69275,110262,205,40320,64175,Professional Degree,1998
3444,35 to 44 years,426,112170,178535,229,93652,149061,Professional Degree,1998
3445,45 to 54 years,446,107312,170803,160,66185,105343,Professional Degree,1998
3446,55 to 64 years,271,146907,233824,40,(B),(B),Professional Degree,1998
3447,65 years and over,119,90139,143470,18,(B),(B),Professional Degree,1998
3452,Total,1557,109206,176172,663,62113,100201,Professional Degree,1997
3453,18 to 24 years,10,(B),(B),(B),(B),(B),Professional Degree,1997
3454,25 to 34 years,238,63723,102798,216,51858,83658,Professional Degree,1997
3455,35 to 44 years,465,112165,180945,197,82784,133547,Professional Degree,1997
3456,45 to 54 years,447,113970,183857,161,60944,98315,Professional Degree,1997
3457,55 to 64 years,256,168767,272256,63,(B),(B),Professional Degree,1997
3458,65 years and over,141,59829,96516,27,(B),(B),Professional Degree,1997
3463,Total,1498,102913,169608,604,72015,118686,Professional Degree,1996
3464,18 to 24 years,2,(B),(B),(B),(B),(B),Professional Degree,1996
3465,25 to 34 years,273,54720,90183,167,48816,80452,Professional Degree,1996
3466,35 to 44 years,435,121535,200299,208,84613,139449,Professional Degree,1996
3467,45 to 54 years,436,129226,212974,150,75602,124598,Professional Degree,1996
3468,55 to 64 years,203,106852,176100,58,(B),(B),Professional Degree,1996
3469,65 years and over,149,55772,91916,20,(B),(B),Professional Degree,1996
3474,Total,1436,101730,172124,631,47959,81145,Professional Degree,1995
3475,18 to 24 years,4,(B),(B),5,(B),(B),Professional Degree,1995
3476,25 to 34 years,287,52522,88865,215,46683,78986,Professional Degree,1995
3477,35 to 44 years,436,141337,239137,224,51983,87953,Professional Degree,1995
3478,45 to 54 years,398,108081,182869,126,47505,80377,Professional Degree,1995
3479,55 to 64 years,181,100707,170393,48,(B),(B),Professional Degree,1995
3480,65 years and over,131,62213,105262,13,(B),(B),Professional Degree,1995
3485,Total,1526,92504,160284,614,58514,101389,Professional Degree,1994
3486,18 to 24 years,(B),(B),(B),(B),(B),(B),Professional Degree,1994
3487,25 to 34 years,267,49443,85671,193,35073,60772,Professional Degree,1994
3488,35 to 44 years,509,115948,200906,249,85019,147315,Professional Degree,1994
3489,45 to 54 years,433,103468,179282,116,55322,95858,Professional Degree,1994
3490,55 to 64 years,212,85514,148172,41,(B),(B),Professional Degree,1994
3491,65 years and over,105,57166,99053,16,(B),(B),Professional Degree,1994
3496,Total,1486,100594,177942,491,50714,89708,Professional Degree,1993
3497,18 to 24 years,(B),(B),(B),(B),(B),(B),Professional Degree,1993
3498,25 to 34 years,256,48500,85792,137,38188,67551,Professional Degree,1993
3499,35 to 44 years,519,105815,187177,205,57029,100879,Professional Degree,1993
3500,45 to 54 years,385,143153,253225,100,63771,112805,Professional Degree,1993
3501,55 to 64 years,198,103232,182608,36,(B),(B),Professional Degree,1993
3502,65 years and over,128,51370,90869,13,(B),(B),Professional Degree,1993
3507,Total,1497,83008,150536,501,48531,88011,Professional Degree,1992
3508,18 to 24 years,2,(B),(B),4,(B),(B),Professional Degree,1992
